"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200209850";2022-06-08;2;5;5779;5;5;5;"555";Champions
"2000200175360";2022-05-29;12;17;5766;5;5;5;"555";Champions
"2000200184782";2022-06-05;5;6;5710;5;5;5;"555";Champions
"2000200237839";2022-05-29;12;7;5688;5;5;5;"555";Champions
"2000200189251";2022-06-08;2;17;5654;5;5;5;"555";Champions
"2000200196228";2022-05-20;21;7;5626;5;5;5;"555";Champions
"2000200158158";2022-05-27;14;13;5609;5;5;5;"555";Champions
"2000200199915";2022-05-30;11;5;5570;5;5;5;"555";Champions
"2000200197652";2022-06-02;8;7;5567;5;5;5;"555";Champions
"2000200169833";2022-05-25;16;6;5474;5;5;5;"555";Champions
"2000200155218";2022-06-01;9;7;5378;5;5;5;"555";Champions
"2000200237211";2022-05-29;12;6;5337;5;5;5;"555";Champions
"2000200158776";2022-06-03;7;7;5335;5;5;5;"555";Champions
"2000200217640";2022-05-19;22;5;5314;5;5;5;"555";Champions
"2000200156604";2022-06-08;2;11;5276;5;5;5;"555";Champions
"2000200234166";2022-06-09;1;6;5243;5;5;5;"555";Champions
"2000200230854";2022-06-07;3;6;5237;5;5;5;"555";Champions
"2000200176343";2022-05-27;14;6;5223;5;5;5;"555";Champions
"2000200209324";2022-06-08;2;9;5221;5;5;5;"555";Champions
"2000200196747";2022-06-09;1;8;5221;5;5;5;"555";Champions
"2000200200550";2022-05-19;22;8;5175;5;5;5;"555";Champions
"2000200189619";2022-06-06;4;10;5149;5;5;5;"555";Champions
"2000200184881";2022-05-23;18;7;5134;5;5;5;"555";Champions
"2000200173922";2022-06-06;4;9;5133;5;5;5;"555";Champions
"2000200180494";2022-06-02;8;13;5117;5;5;5;"555";Champions
"2000200172772";2022-05-28;13;10;5116;5;5;5;"555";Champions
"2000200220725";2022-06-04;6;8;5008;5;5;5;"555";Champions
"2000200209591";2022-05-28;13;11;4996;5;5;5;"555";Champions
"2000200221067";2022-06-05;5;9;4995;5;5;5;"555";Champions
"2000200224044";2022-06-06;4;9;4959;5;5;5;"555";Champions
"2000200231219";2022-06-06;4;6;4925;5;5;5;"555";Champions
"2000200189442";2022-05-30;11;13;4912;5;5;5;"555";Champions
"2000200205555";2022-06-06;4;11;4880;5;5;5;"555";Champions
"2000200212669";2022-06-01;9;8;4865;5;5;5;"555";Champions
"2000200171546";2022-05-26;15;10;4826;5;5;5;"555";Champions
"2000200232483";2022-05-19;22;8;4815;5;5;5;"555";Champions
"2000200220534";2022-06-04;6;8;4813;5;5;5;"555";Champions
"2000200219613";2022-06-07;3;9;4798;5;5;5;"555";Champions
"2000200220299";2022-05-31;10;7;4759;5;5;5;"555";Champions
"2000200228660";2022-06-07;3;11;4753;5;5;5;"555";Champions
"2000200171782";2022-05-20;21;9;4747;5;5;5;"555";Champions
"2000200204145";2022-05-30;11;9;4740;5;5;5;"555";Champions
"2000200227526";2022-06-09;1;9;4712;5;5;5;"555";Champions
"2000200221609";2022-05-23;18;7;4697;5;5;5;"555";Champions
